Date,Open,High,Low,Close,Volume
14/03/2023,"145.80","147.40","144.20","144.85","134984"
15/03/2023,"147.20","149.60","145.35","145.90","55351"
16/03/2023,"146.80","149.30","143.80","148.80","120426"
17/03/2023,"149.35","154.75","149.35","153.55","296302"
20/03/2023,"153.55","153.60","147.75","149.75","112846"
21/03/2023,"150.05","153.00","150.00","152.70","105279"
22/03/2023,"152.70","157.35","151.55","156.05","464597"
23/03/2023,"156.55","156.55","153.55","154.30","101492"
24/03/2023,"153.00","153.00","142.75","143.95","377577"
27/03/2023,"144.40","147.50","139.35","145.95","249125"
28/03/2023,"146.85","149.15","143.65","146.80","255624"
29/03/2023,"146.35","153.90","146.35","153.05","265668"
31/03/2023,"153.00","155.05","152.35","153.65","103428"
03/04/2023,"153.00","154.85","152.00","153.80","163470"
05/04/2023,"153.25","156.40","152.90","155.25","125741"
06/04/2023,"156.40","159.25","153.80","157.95","207164"
10/04/2023,"158.10","160.20","155.85","159.70","485466"
11/04/2023,"160.80","161.30","157.05","157.55","201195"
12/04/2023,"158.35","158.35","155.75","156.25","43065"
13/04/2023,"157.05","157.90","155.55","157.55","65562"
17/04/2023,"157.40","166.10","156.85","164.60","232059"
18/04/2023,"166.20","167.25","161.60","163.25","197962"
19/04/2023,"163.40","164.80","160.75","161.55","281584"
20/04/2023,"160.35","163.95","160.20","161.25","157838"
21/04/2023,"161.50","162.25","157.25","157.80","135705"
24/04/2023,"157.10","160.80","157.05","160.20","96974"
25/04/2023,"161.95","163.25","160.10","160.50","302310"
26/04/2023,"160.55","163.00","159.70","161.90","115411"
27/04/2023,"160.55","162.85","160.55","161.80","144450"
28/04/2023,"161.65","168.20","161.65","167.10","274423"
02/05/2023,"167.25","170.40","167.25","167.95","135915"
03/05/2023,"167.15","170.35","166.55","169.20","113779"
04/05/2023,"169.20","174.00","169.20","173.40","245249"
05/05/2023,"173.90","174.30","170.00","170.50","271226"
08/05/2023,"169.90","175.25","169.90","174.10","393203"
09/05/2023,"174.50","175.00","169.45","170.95","162652"
10/05/2023,"170.25","171.50","166.20","170.75","157628"
11/05/2023,"172.85","173.30","163.00","163.90","294231"
12/05/2023,"166.85","167.10","162.90","163.40","152386"
15/05/2023,"163.45","167.25","160.45","166.30","267790"
16/05/2023,"166.30","170.25","164.65","165.00","249493"
17/05/2023,"164.70","165.85","162.35","164.35","71697"
18/05/2023,"165.20","167.75","164.35","164.70","77065"
19/05/2023,"165.25","165.35","157.55","163.80","290978"
22/05/2023,"163.85","166.65","162.50","166.10","76926"
23/05/2023,"166.15","167.20","165.40","166.50","56414"
24/05/2023,"166.85","166.85","158.00","164.65","61198"
25/05/2023,"164.70","165.50","162.20","164.70","67490"
26/05/2023,"165.50","167.35","164.15","165.20","49015"
29/05/2023,"165.25","167.95","164.40","165.65","78406"
30/05/2023,"165.60","171.70","165.60","170.90","453583"
31/05/2023,"171.75","172.35","169.15","170.15","103296"
01/06/2023,"170.85","172.40","170.25","171.70","650580"
02/06/2023,"174.65","176.55","172.00","172.45","242536"
05/06/2023,"174.45","174.45","167.40","168.50","226321"
06/06/2023,"169.00","172.25","168.15","171.55","140399"
07/06/2023,"172.70","173.90","171.10","173.50","447486"
08/06/2023,"174.85","174.85","170.15","171.90","148957"
09/06/2023,"171.40","175.20","171.40","173.80","99289"
12/06/2023,"174.00","178.00","173.55","177.25","127455"
13/06/2023,"178.25","181.90","176.30","177.65","262490"
14/06/2023,"178.05","178.15","174.85","175.40","173391"
15/06/2023,"175.40","176.00","172.85","174.30","69796"
16/06/2023,"175.95","178.75","174.80","177.90","171810"
19/06/2023,"178.10","181.25","178.05","179.40","160616"
20/06/2023,"179.40","180.00","176.90","179.35","71809"
21/06/2023,"180.05","183.50","178.95","180.15","110357"
22/06/2023,"179.15","180.50","171.00","171.60","304421"
23/06/2023,"171.75","175.90","167.95","175.00","205962"
26/06/2023,"175.05","181.90","174.30","181.20","323296"
27/06/2023,"184.90","193.50","179.90","192.35","999602"
28/06/2023,"192.90","194.65","188.95","193.60","642502"
30/06/2023,"192.75","196.85","190.60","196.35","7838928"
